Province/State,Country/Region,Lat,Long,Date,Case,Count
Chongqing,Mainland China,30.05718,107.874,2020-02-09,recovered,51
Chongqing,Mainland China,30.05718,107.874,2020-02-09,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-10,confirmed,486
Chongqing,Mainland China,30.05718,107.874,2020-02-10,recovered,66
Chongqing,Mainland China,30.05718,107.874,2020-02-10,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-11,confirmed,505
Chongqing,Mainland China,30.05718,107.874,2020-02-11,recovered,79
Chongqing,Mainland China,30.05718,107.874,2020-02-11,death,3
Chongqing,Mainland China,30.05718,107.874,2020-02-12,confirmed,518
Chongqing,Mainland China,30.05718,107.874,2020-02-12,recovered,102
Chongqing,Mainland China,30.05718,107.874,2020-02-12,death,3
Chongqing,Mainland China,30.05718,107.874,2020-02-13,confirmed,529
Chongqing,Mainland China,30.05718,107.874,2020-02-13,recovered,128
Chongqing,Mainland China,30.05718,107.874,2020-02-13,death,4
Chongqing,Mainland China,30.05718,107.874,2020-02-14,confirmed,537
Chongqing,Mainland China,30.05718,107.874,2020-02-14,recovered,152
Chongqing,Mainland China,30.05718,107.874,2020-02-14,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-15,confirmed,544
Chongqing,Mainland China,30.05718,107.874,2020-02-15,recovered,184
Chongqing,Mainland China,30.05718,107.874,2020-02-15,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-16,confirmed,551
Chongqing,Mainland China,30.05718,107.874,2020-02-16,recovered,207
Chongqing,Mainland China,30.05718,107.874,2020-02-16,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-17,confirmed,553
Chongqing,Mainland China,30.05718,107.874,2020-02-17,recovered,225
Chongqing,Mainland China,30.05718,107.874,2020-02-17,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-18,confirmed,555
Chongqing,Mainland China,30.05718,107.874,2020-02-18,recovered,254
Chongqing,Mainland China,30.05718,107.874,2020-02-18,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-19,confirmed,560
Chongqing,Mainland China,30.05718,107.874,2020-02-19,recovered,274
Chongqing,Mainland China,30.05718,107.874,2020-02-19,death,5
Chongqing,Mainland China,30.05718,107.874,2020-02-20,confirmed,567
Chongqing,Mainland China,30.05718,107.874,2020-02-20,recovered,299
Chongqing,Mainland China,30.05718,107.874,2020-02-20,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-21,confirmed,572
Chongqing,Mainland China,30.05718,107.874,2020-02-21,recovered,316
Chongqing,Mainland China,30.05718,107.874,2020-02-21,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-22,confirmed,573
Chongqing,Mainland China,30.05718,107.874,2020-02-22,recovered,328
Chongqing,Mainland China,30.05718,107.874,2020-02-22,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-23,confirmed,575
Chongqing,Mainland China,30.05718,107.874,2020-02-23,recovered,335
Chongqing,Mainland China,30.05718,107.874,2020-02-23,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-24,confirmed,576
Chongqing,Mainland China,30.05718,107.874,2020-02-24,recovered,349
Chongqing,Mainland China,30.05718,107.874,2020-02-24,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-25,confirmed,576
Chongqing,Mainland China,30.05718,107.874,2020-02-25,recovered,372
Chongqing,Mainland China,30.05718,107.874,2020-02-25,death,6
Chongqing,Mainland China,30.05718,107.874,2020-02-26,confirmed,576
Chongqing,Mainland China,30.05718,107.874,2020-02-26,recovered,384
Chongqing,Mainland China,30.05718,107.874,2020-02-26,death,6
Fujian,Mainland China,26.07783,117.9895,2020-01-22,confirmed,1
Fujian,Mainland China,26.07783,117.9895,2020-01-22,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-22,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-23,confirmed,5
Fujian,Mainland China,26.07783,117.9895,2020-01-23,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-23,death,0
